,n_components,absorption_ratio
2007-04-25,109.0,0.7372029034198408
2007-04-26,109.0,0.7372029034198408
2007-04-27,109.0,0.7372029034198408
2007-04-30,109.0,0.7372029034198408
2007-05-01,109.0,0.7372029034198408
2007-05-02,109.0,0.7372029034198408
2007-05-03,109.0,0.7372029034198408
2007-05-04,109.0,0.7372029034198408
2007-05-07,109.0,0.7372029034198408
2007-05-08,109.0,0.7372029034198408
2007-05-09,109.0,0.7372029034198408
2007-05-10,109.0,0.7372029034198408
2007-05-11,111.0,0.7324462462897922
2007-05-14,111.0,0.7324462462897922
2007-05-15,111.0,0.7324462462897922
2007-05-16,111.0,0.7324462462897922
2007-05-17,111.0,0.7324462462897922
2007-05-18,111.0,0.7324462462897922
2007-05-21,111.0,0.7324462462897922
2007-05-22,111.0,0.7324462462897922
2007-05-23,111.0,0.7324462462897922
2007-05-24,111.0,0.7324462462897922
2007-05-25,111.0,0.7324462462897922
2007-05-29,111.0,0.7324462462897922
2007-05-30,111.0,0.7324462462897922
2007-05-31,111.0,0.7324462462897922
2007-06-01,111.0,0.7324462462897922
2007-06-04,111.0,0.7324462462897922
2007-06-05,111.0,0.7324462462897922
2007-06-06,111.0,0.7324462462897922
2007-06-07,111.0,0.7324462462897922
2007-06-08,111.0,0.7324462462897922
2007-06-11,111.0,0.7324462462897922
2007-06-12,111.0,0.7326178256424261
2007-06-13,111.0,0.7326178256424261
2007-06-14,111.0,0.7326178256424261
2007-06-15,111.0,0.7326178256424261
2007-06-18,111.0,0.7326178256424261
2007-06-19,111.0,0.7326178256424261
2007-06-20,111.0,0.7326178256424261
2007-06-21,111.0,0.7326178256424261
2007-06-22,111.0,0.7326178256424261
2007-06-25,111.0,0.7326178256424261
2007-06-26,111.0,0.7326178256424261
2007-06-27,111.0,0.7326178256424261
2007-06-28,111.0,0.7326178256424261
2007-06-29,111.0,0.7326178256424261
2007-07-02,111.0,0.7326178256424261
2007-07-03,111.0,0.7326178256424261
2007-07-05,111.0,0.7326178256424261
2007-07-06,111.0,0.7326178256424261
2007-07-09,111.0,0.7326178256424261
2007-07-10,111.0,0.7326178256424261
2007-07-11,111.0,0.7326178256424261
2007-07-12,110.0,0.7344609370763908
2007-07-13,110.0,0.7344609370763908
2007-07-16,110.0,0.7344609370763908
2007-07-17,110.0,0.7344609370763908
2007-07-18,110.0,0.7344609370763908
2007-07-19,110.0,0.7344609370763908
2007-07-20,110.0,0.7344609370763908
2007-07-23,110.0,0.7344609370763908
2007-07-24,110.0,0.7344609370763908
2007-07-25,110.0,0.7344609370763908
2007-07-26,110.0,0.7344609370763908
2007-07-27,110.0,0.7344609370763908
2007-07-30,110.0,0.7344609370763908
2007-07-31,110.0,0.7344609370763908
2007-08-01,110.0,0.7344609370763908
2007-08-02,110.0,0.7344609370763908
2007-08-03,110.0,0.7344609370763908
2007-08-06,110.0,0.7344609370763908
2007-08-07,110.0,0.7344609370763908
2007-08-08,110.0,0.7344609370763908
2007-08-09,110.0,0.7344609370763908
2007-08-10,106.0,0.7439577130495386
2007-08-13,106.0,0.7439577130495386
2007-08-14,106.0,0.7439577130495386
2007-08-15,106.0,0.7439577130495386
2007-08-16,106.0,0.7439577130495386
2007-08-17,106.0,0.7439577130495386
2007-08-20,106.0,0.7439577130495386
2007-08-21,106.0,0.7439577130495386
2007-08-22,106.0,0.7439577130495386
2007-08-23,106.0,0.7439577130495386
2007-08-24,106.0,0.7439577130495386
2007-08-27,106.0,0.7439577130495386
2007-08-28,106.0,0.7439577130495386
2007-08-29,106.0,0.7439577130495386
2007-08-30,106.0,0.7439577130495386
2007-08-31,106.0,0.7439577130495386
2007-09-04,106.0,0.7439577130495386
2007-09-05,106.0,0.7439577130495386
2007-09-06,106.0,0.7439577130495386
2007-09-07,106.0,0.7439577130495386
2007-09-10,106.0,0.7439577130495386
2007-09-11,104.0,0.7499566251743537
2007-09-12,104.0,0.7499566251743537
2007-09-13,104.0,0.7499566251743537
2007-09-14,104.0,0.7499566251743537
2007-09-17,104.0,0.7499566251743537
2007-09-18,104.0,0.7499566251743537
2007-09-19,104.0,0.7499566251743537
2007-09-20,104.0,0.7499566251743537
2007-09-21,104.0,0.7499566251743537
2007-09-24,104.0,0.7499566251743537
2007-09-25,104.0,0.7499566251743537
2007-09-26,104.0,0.7499566251743537
2007-09-27,104.0,0.7499566251743537
2007-09-28,104.0,0.7499566251743537
2007-10-01,104.0,0.7499566251743537
2007-10-02,104.0,0.7499566251743537
2007-10-03,104.0,0.7499566251743537
2007-10-04,104.0,0.7499566251743537
2007-10-05,104.0,0.7499566251743537
2007-10-08,104.0,0.7499566251743537
2007-10-09,104.0,0.7499566251743537
2007-10-10,104.0,0.750578529014127
