,0
DHI,0.009011857234904434
FLS,0.00902217596144516
NUE,0.00902347291045629
L,0.009053192227777989
DVN,0.009058099542866392
GILD,0.009067521710153572
PFE,0.009082202504796879
BIIB,0.009090370690512519
EBAY,0.009091949479265622
BCR,0.009096993098374192
GD,0.009128894830777827
CMA,0.009148676117509965
AEP,0.0091586979771056
COG,0.009168008379972382
MCK,0.009178214619275548
ESRX,0.009186371642819506
DF,0.009189207022196619
HOG,0.009191664688410718
1431816D,0.009192039611335126
AN,0.009206737053855302
CSCO,0.009211921136455777
ITT,0.009217803538576973
DD,0.00922398196849723
MKC,0.009238839892826216
NTAP,0.009266819202919429
FDX,0.009269313391831817
AMZN,0.009306942557599316
STR,0.009307948116489474
MMM,0.009313287307417538
FE,0.009323554913013444
MAT,0.00932711127947738
CPB,0.009352002196053128
HRL,0.00938477337953485
RTN,0.009387395019125033
BHGE,0.00941479454760047
STJ,0.009452937354460591
TMO,0.009465864959713842
BRK/B,0.009505918731290888
GPS,0.009518371874673639
APA,0.009535876278455068
FTR,0.009536714877097046
SRCL,0.009554388832885875
XL,0.009568844633171453
BRCM,0.009593450646821053
FMC,0.009612190979564955
CHK,0.009637799011616922
NEM,0.009704209519511332
EMR,0.009716372736958743
HRS,0.00974729689225082
CAM,0.00976425594712962
MDT,0.00981947497910742
JEC,0.009843328323781195
IBM,0.009844802706437557
C,0.009849554559249633
ROST,0.009857421517302567
WY,0.009865168174922596
JBL,0.009892029289852784
BXP,0.009917587080652325
DNR,0.009931514097471528
SPGI,0.009940399874815199
1541931D,0.009945898454803148
APD,0.0099937471985559
ADI,0.010023339262588332
PNW,0.010046975720112062
ADM,0.010075311596361564
CVX,0.01009453830152483
AEE,0.010107285178531867
PH,0.010122886435910663
BMS,0.010146803861250999
1284849D,0.010147978082717318
QCOM,0.010172190570649024
AMGN,0.010202792032798278
PGR,0.01020884890355428
EQR,0.010218310138513613
MAS,0.010219573872033434
VAR,0.010263495870871154
BDX,0.010284938350536144
FDO,0.010294116194590133
PLL,0.010302610061154608
VNO,0.010309204638073395
KLAC,0.010348180991112248
MO,0.010354465274270126
LLL,0.010357603567469807
UTX,0.010402492912677324
BIG,0.010468709236982357
JNJ,0.01046887215271656
ROP,0.01047728560565288
IVZ,0.0104824946601988
NEE,0.010488252338882415
AMAT,0.010500977356202663
VMC,0.01050115517352081
TJX,0.010523388477755916
XRAY,0.010557624098161881
RL,0.010568465587864416
FHN,0.010569935700021179
SEE,0.01058477445055095
ARG,0.01059372905162179
EFX,0.010602944273539722
PCLN,0.010609825617348396
SCHW,0.01063026600154965
SNA,0.010668561598692729
WDC,0.010673940149821887
PAYX,0.010692144834182439
ITW,0.010693846007823771
LH,0.010695298199025056
OMC,0.0107208863446735
NBR,0.010735800349567432
NE,0.010745345592212874
MUR,0.010790609951565593
VFC,0.010803846180707314
SJM,0.010835732520470608
SLM,0.010836349605262061
LOW,0.010838056226456097
TMK,0.010853975814179191
VZ,0.010859319662274457
ALL,0.010878667331239862
COST,0.010945493895116893
XOM,0.01095230474931529
PEP,0.010983935067527728
RDC,0.011032237545174857
EXPD,0.01103517118960937
MTB,0.011055601856220957
ZION,0.01107789738861841
NKE,0.011096387246081188
DHR,0.011108570192251125
CCL,0.011115869351643671
LLY,0.011122063692808925
RHI,0.011142793910886715
NSC,0.011158813801011273
SHW,0.011163487463826805
KIM,0.011185537670486955
FII,0.0112451529804447
UNP,0.011262573796820847
XLNX,0.011265388079413017
ADBE,0.01128308422993033
ADP,0.011289789842832973
